Name,Position [m],Focus [m]
A01,-25.867 46.000 10.000,46.000
A02,-17.245 46.000 10.000,46.000
A03,-8.622 46.000 10.000,46.000
A04,0.000 46.000 10.000,46.000
A05,8.622 46.000 10.000,46.000
A06,17.245 46.000 10.000,46.000
A07,25.867 46.000 10.000,46.000
B01,-23.132 52.000 14.500,52.000
B02,-16.523 52.000 14.500,52.000
B03,-9.914 52.000 14.500,52.000
B04,-3.305 52.000 14.500,52.000
B05,3.305 52.000 14.500,52.000
B06,9.914 52.000 14.500,52.000
B07,16.523 52.000 14.500,52.000
B08,23.132 52.000 14.500,52.000
C01,-12.498 58.000 19.500,58.000
C02,-6.249 58.000 19.500,58.000
C03,0.000 58.000 19.500,58.000
C04,6.249 58.000 19.500,58.000
C05,12.498 58.000 19.500,58.000
