Year,Month,Day,"UT1 (Decimal Hours)","Azimuth from North (Radians)","Zenith Angle (Radians)","DNI (W/m2)"
2020,6,21,0.00,0.5756990061,1.9904626245,0
2020,6,21,0.25,0.6319226747,1.9599138734,0
2020,6,21,0.50,0.6858211037,1.9269747189,0
2020,6,21,0.75,0.7374388820,1.8918387735,0
2020,6,21,1.00,0.7868516054,1.8546910157,0
2020,6,21,1.25,0.8341583177,1.8157060359,0
2020,6,21,1.50,0.8794749648,1.7750470326,0
2020,6,21,1.75,0.9229289844,1.7328654050,0
2020,6,21,2.00,0.9646550272,1.6893007974,0
2020,6,21,2.25,1.0047917311,1.6444814700,0
2020,6,21,2.50,1.0434794322,1.5985248909,0
2020,6,21,2.75,1.0808586854,1.5515384709,0.06395227948154
2020,6,21,3.00,1.1170694768,1.5036203776,66.8166920466281
2020,6,21,3.25,1.1522510258,1.4548603873,216.085419122957
2020,6,21,3.50,1.1865421030,1.4053407464,350.270724175906
2020,6,21,3.75,1.2200818141,1.3551370229,455.422562987548
2020,6,21,4.00,1.2530108347,1.3043189439,536.78388262055
2020,6,21,4.25,1.2854731112,1.2529512157,600.513093391986
2020,6,21,4.50,1.3176180847,1.2010943375,651.275652447978
2020,6,21,4.75,1.3496035413,1.1488054193,692.369383873201
2020,6,21,5.00,1.3815992513,1.0961390275,726.115179574803
2020,6,21,5.25,1.4137916461,1.0431480900,754.167998221089
2020,6,21,5.50,1.4463898915,0.9898849014,777.72917088728
2020,6,21,5.75,1.4796338911,0.9364022947,797.686823288012
2020,6,21,6.00,1.5138049967,0.8827550665,814.708925962808
2020,6,21,6.25,1.5492405893,0.8290017926,829.305769681157
2020,6,21,6.50,1.5863542821,0.7752072354,841.872625969916
2020,6,21,6.75,1.6256644286,0.7214456608,852.719394103763
2020,6,21,7.00,1.6678351130,0.6678055683,862.091557897324
2020,6,21,7.25,1.7137362164,0.6143966599,870.185236395741
2020,6,21,7.50,1.7645330841,0.5613604326,877.158149736344
2020,6,21,7.75,1.8218226447,0.5088867757,883.137711236533
2020,6,21,8.00,1.8878425229,0.4572407642,888.227063915821
2020,6,21,8.25,1.9657924092,0.4068071236,892.509622516504
2020,6,21,8.50,2.0603145371,0.3581656267,896.052510909346
2020,6,21,8.75,2.1781414717,0.3122196463,898.909168856719
2020,6,21,9.00,2.3286775236,0.2704075882,901.121322217064
2020,6,21,9.25,2.5233795623,0.2350013504,902.720454559061
2020,6,21,9.50,2.7707014852,0.2093222213,903.728877860751
2020,6,21,9.75,3.0631492903,0.1972371520,904.160470230754
2020,6,21,10.00,3.3669880376,0.2012232248,904.021125828116
2020,6,21,10.25,3.6399646816,0.2204065501,903.308943847223
2020,6,21,10.50,3.8611374031,0.2513144939,902.014167692645
2020,6,21,10.75,4.0328151751,0.2901990900,900.118870773215
2020,6,21,11.00,4.1660228329,0.3342554635,897.596370314256
2020,6,21,11.25,4.2714635816,0.3816589582,894.410333796537
2020,6,21,11.50,4.3571943333,0.4312652163,890.513522411812
2020,6,21,11.75,4.4288385309,0.4823495300,885.846090121699
2020,6,21,12.00,4.4902621046,0.5344395393,880.333322541817
2020,6,21,12.25,4.5441456196,0.5872160761,873.882652639189
2020,6,21,12.50,4.5923815735,0.6404550299,866.379723703567
2020,6,21,12.75,4.6363352066,0.6939927430,857.683174436007
2020,6,21,13.00,4.6770138789,0.7477048826,847.617681042409
2020,6,21,13.25,4.7151778687,0.8014931641,835.964582797067
2020,6,21,13.50,4.7514139331,0.8552767511,822.449101851797
2020,6,21,13.75,4.7861850281,0.9089865112,806.722681810003
2020,6,21,14.00,4.8198645540,0.9625610553,788.338208316945
2020,6,21,14.25,4.8527603934,1.0159439145,766.714665450155
2020,6,21,14.50,4.8851321002,1.0690814527,741.085839316292
2020,6,21,14.75,4.9172034135,1.1219212625,710.424556452524
2020,6,21,15.00,4.9491715282,1.1744108769,673.329028854839
2020,6,21,15.25,4.9812140752,1.2264966889,627.850796293565
2020,6,21,15.50,5.0134944592,1.2781230008,571.236825557225
2020,6,21,15.75,5.0461659911,1.3292311537,499.569126835142
2020,6,21,16.00,5.0793751170,1.3797586979,407.411467519563
2020,6,21,16.25,5.1132639466,1.4296385795,288.352211677782
2020,6,21,16.50,5.1479722119,1.4787983246,141.900741269663
2020,6,21,16.75,5.1836387361,1.5271592118,14.8105611611692
2020,6,21,17.00,5.2204024489,1.5746354263,0
2020,6,21,17.25,5.2584029468,1.6211332028,0
2020,6,21,17.50,5.2977805674,1.6665499653,0
2020,6,21,17.75,5.3386759148,1.7107734892,0
2020,6,21,18.00,5.3812287483,1.7536811191,0
2020,6,21,18.25,5.4255761235,1.7951390949,0
2020,6,21,18.50,5.4718496615,1.8350020557,0
2020,6,21,18.75,5.5201718221,1.8731128135,0
2020,6,21,19.00,5.5706510775,1.9093025126,0
2020,6,21,19.25,5.6233759410,1.9433913080,0
2020,6,21,19.50,5.6784079001,1.9751897170,0
2020,6,21,19.75,5.7357734566,2.0045007937,0
2020,6,21,20.00,5.7954556813,2.0311232639,0
2020,6,21,20.25,5.8573859372,2.0548557034,0
2020,6,21,20.50,5.9214366783,2.0755017597,0
2020,6,21,20.75,5.9874164366,2.0928762903,0
2020,6,21,21.00,6.0550681751,2.1068121385,0
2020,6,21,21.25,6.1240720512,2.1171671007,0
2020,6,21,21.50,6.1940532234,2.1238305089,0
2020,6,21,21.75,6.2645946900,2.1267287778,0
2020,6,21,22.00,0.0520690416,2.1258293026,0
2020,6,21,22.25,0.1223994094,2.1211422403,0
2020,6,21,22.50,0.1919679252,2.1127199513,0
2020,6,21,22.75,0.2603756465,2.1006541716,0
2020,6,21,23.00,0.3272724627,2.0850712646,0
